season,last_name,first_name,average_minutes,usage,games_played,points_per30,true_shooting_proportion,free_throw_rate,three_point_rate,assists_per30,turnovers_per30,offensive_rebounds_per30,defensive_rebounds_per30,steals_per30,blocks_per30,fouls_per30,pounds_per_inch,height_inches
2006,Walker,B.A.,29.7,21.250132108795448,29,11.772901428073842,0.5412503202664617,0.14732257238022034,0.5508583141173456,1.9505398815743646,0.9752699407871823,0.9404388714733544,1.5325670498084292,1.149425287356322,0.1741553465691397,1.4977359804946013,2.1621621621621623,74
2006,Pellot-Rosa,Jesse,29.3,17.918964503733346,29,9.426856537601505,0.5538499834052439,0.2738134749419184,0.35678725522734817,1.9771684123808402,1.4828763092856303,2.25962104272096,2.9657526185712606,1.6947157820407202,0.31775920913263506,1.9771684123808402,2.5657894736842106,76
2006,Harper,Alexander,23.9,15.472939875952811,29,8.570191891501949,0.617360937889748,0.27438263906211025,0.4053379895235719,3.07314961765979,1.688068099841293,0.6059731640455923,3.246284807387102,1.4283653152503246,0.08656759486365605,2.5970278459096816,2.5,76
2006,Davis,Eric,19.7,22.549438770483555,29,9.189567652721863,0.48481826241134757,0.3712322695035461,0.011081560283687944,0.47260633642569583,3.098197094346228,1.207771748643445,3.098197094346228,0.8401890425345704,1.1552599334850342,4.095921582356031,2.7777777777777777,81
2006,Shuler,Jamal,16.2,19.222800553859223,29,10.727969348659006,0.5388760585065435,0.17321016166281755,0.6222735437516038,1.979565772669221,0.7662835249042146,0.7024265644955301,2.10727969348659,0.7662835249042146,0.31928480204342274,1.7879948914431674,2.4,75
2006,Maynor,Eric,15.7,21.271693456279962,29,8.895233911706569,0.5112087246289003,0.3105119660708876,0.1136019388064223,4.282890401932792,3.1627498352734467,0.5271249725455744,1.9767186470459042,1.4495936745003295,0,2.635624862727872,2.22972972972973,74
2006,Anderson,Michael,14.7,16.13682193800795,29,6.685432793807179,0.4572583750481325,0.2599152868694648,0.2984212552945707,1.3370865587614358,1.6889514426460241,2.11118930330753,3.800140745953554,1.1963406052076004,0.8444757213230121,3.7297677691766364,2.4050632911392404,79
2006,Dixon,Renardo,10.3,19.99081529491906,13,8.289768483943242,0.4227605118829982,0.09140767824497258,0.4570383912248629,0.6721433905899925,1.344286781179985,2.68857356235997,3.3607169529499625,0.4480955937266617,1.568334578043316,4.929051530993278,2.5925925925925926,81
2006,Capel,Julian,5.8,14.505725907583406,10,8.793103448275861,0.7302405498281787,0.5154639175257731,0.3436426116838488,2.0689655172413794,2.0689655172413794,1.5517241379310345,2.586206896551724,0.5172413793103449,0,0.5172413793103449,2.4025974025974026,77
2006,Faulk,Sam,16.7,6.657093787319213,27,2.860944777112442,0.49086757990867586,0.4566210045662101,0,0.33266799733865604,0.7984031936127746,2.4617431803060543,3.992015968063873,1.0645375914836994,1.0645375914836994,4.990019960079841,2.6875,80
2007,Walker,B.A.,32.3,21.537870014072055,35,13.713527851458887,0.6100151028884274,0.1864262790258637,0.5238814423258449,1.750663129973475,1.1405835543766578,0.8488063660477453,1.830238726790451,0.9283819628647215,0.1856763925729443,1.750663129973475,2.1621621621621623,74
2007,Maynor,Eric,34.7,22.87851905502206,35,11.985172981878089,0.5280923344947736,0.39198606271777003,0.1284843205574913,5.535420098846788,1.8039538714991763,0.543657331136738,3.113673805601318,1.186161449752883,0.17298187808896212,1.8533772652388798,2.22972972972973,74
2007,Pellot-Rosa,Jesse,26.4,25.133802816901408,35,15.048648648648648,0.5941405449702929,0.29963122311001844,0.3969473468551526,1.5567567567567566,1.7837837837837838,2.3027027027027023,2.8216216216216217,1.2648648648648648,0.4864864864864865,2.5297297297297296,2.5657894736842106,76
